experiment_name,algorithm,dataset,n_train,validation_AK,validation_BX,validation_CH,validation_HS,validation_PS,validation_QS,validation_YW,validation_ZW,validation_good,validation_ng,validation_total,test_AK,test_BX,test_CH,test_HS,test_PS,test_QS,test_YW,test_ZW,test_good,test_ng,test_total,training_seconds,image_auroc,image_ap,pixel_auroc,pixel_ap,avg_inference_time_seconds,miss_rate_at_0.01,false_positive_rate_at_0.01,per_defect_image_auroc_score,per_defect_image_auroc_BX,per_defect_image_auroc_PS,per_defect_image_auroc_QS,per_defect_image_auroc_ZW,per_defect_image_ap_score,per_defect_image_ap_BX,per_defect_image_ap_PS,per_defect_image_ap_QS,per_defect_image_ap_ZW,per_defect_pixel_auroc_score,per_defect_pixel_auroc_BX,per_defect_pixel_auroc_PS,per_defect_pixel_auroc_QS,per_defect_pixel_auroc_ZW,per_defect_pixel_ap_score,per_defect_pixel_ap_BX,per_defect_pixel_ap_PS,per_defect_pixel_ap_QS,per_defect_pixel_ap_ZW,per_defect_image_auroc_AK,per_defect_image_auroc_HS,per_defect_image_ap_AK,per_defect_image_ap_HS,per_defect_pixel_auroc_AK,per_defect_pixel_auroc_HS,per_defect_pixel_ap_AK,per_defect_pixel_ap_HS,per_defect_image_auroc_CH,per_defect_image_ap_CH,per_defect_pixel_auroc_CH,per_defect_pixel_ap_CH,per_defect_image_auroc_YW,per_defect_image_ap_YW,per_defect_pixel_auroc_YW,per_defect_pixel_ap_YW
performance,STFPM,audiojack,50,,7,,,,7,,6,20,20,40,,119,,4,,49,,14,300,186,486,6.364,0.5805824372759856,0.48780429465313324,0.8505542353544493,0.0042663017525189,0.004849975720101727,0.021505376344086023,0.9066666666666666,0.5495509453781512,0.5856442577030812,,0.5666666666666665,0.6346428571428571,0.19858971419161403,0.3846882691441825,,0.26208191832509237,0.13430599958625838,0.8639593400482768,0.8613899385069548,,0.7880751648265917,0.8571841586111207,0.001340385510899486,0.0045616180538425805,,0.0004638316453342074,0.00023577009418803503,,0.41125,,0.013282669710922809,,0.9491880982484397,,0.00010032225023312175,,,,,,,,
performance,STFPM,bottle_cap,50,7,,,7,,,,6,20,20,40,58,,,118,,1,,29,300,206,506,4.865,0.4639886731391586,0.3917249334271025,0.5842487390679628,0.0005393140539491682,0.004971022529644535,0.02912621359223301,0.9633333333333334,0.4596841515682836,,,0.44166666666666665,0.5098850574712643,0.13248763055209908,,,0.005747126436781609,0.10557209094802175,0.7040790218696054,,,,0.8648665278543107,0.0003510205420650006,,,,0.00038761150209401464,0.40557471264367817,0.4816101694915254,0.13816282502883312,0.2804684797947599,0.7796303398215398,0.4677401979329656,0.0003887488860823005,0.00027670123801868676,,,,,,,,
performance,STFPM,button_battery,50,5,,5,5,,,,5,20,20,40,118,,63,104,,,,112,300,397,697,8.461,0.6016288832913518,0.628518680661281,0.7123477025731599,0.010098925923773126,0.006027847202323542,0.012594458438287154,0.96,0.5970836222001477,,,,0.5238690476190477,0.3009499877018683,,,,0.2809547571577712,0.7076732380541095,,,,0.6897004189872729,0.004623165076155657,,,,0.005491311564851612,0.6697457627118644,0.631121794871795,0.3876644017921135,0.34012405211165025,0.6988253177722441,0.7148910702898584,0.00010854589677780424,0.000653502960360499,0.5635978835978837,0.1950567397459384,0.7272761451670628,0.012239299882632712,,,,
performance,STFPM,end_cap,50,,,,5,5,5,,5,20,20,40,,,,87,114,128,,74,300,403,703,6.571,0.5463358147229114,0.6237059537826977,0.6851479222720439,0.0009422264189704341,0.00460518961587267,0.0024813895781637717,0.9866666666666667,0.5446981612184439,,0.4380847953216374,0.6204947916666667,0.5115540540540541,0.30193425546137326,,0.25888968656225897,0.4103200069064594,0.22003682509967343,0.69455139586592,,0.7662253109039409,0.7301250888364312,0.685193080907428,0.00041238653529027526,,0.0003407863495753416,0.0005374929125773195,0.0003510606975320776,,0.6086590038314177,,0.31849050327710127,,0.5966621028158796,,0.00042020618147636254,,,,,,,,
performance,STFPM,eraser,50,5,,,5,,5,,5,20,20,40,31,,,96,,25,,40,300,192,492,6.497,0.49264756944444443,0.38543547725511773,0.7573105798734292,0.002661958780909202,0.004749572967347473,0.015625,0.9866666666666667,0.522366353046595,,,0.5890666666666666,0.4625,0.15179299016481232,,,0.08984517202043352,0.1572745167575095,0.7545514244814597,,,0.8394483066814391,0.7820345846174774,0.0009873804701214506,,,0.0009295810170811213,0.0009967593442136145,0.5888709677419355,0.44902777777777775,0.1508656551983233,0.20918661668298294,0.6383471254021437,0.7583756812247786,0.00021556015515392123,0.0018076213640371456,,,,,,,,
performance,STFPM,fire_hood,50,5,,,5,,5,,5,20,20,40,28,,,45,,58,,16,300,147,447,4.837,0.5022108843537415,0.3415438516277386,0.7418661989846603,0.0030631231713119825,0.004629261521177192,0.10204081632653061,0.8533333333333334,0.4869531364030286,,,0.5280172413793103,0.4507291666666666,0.1221106280924669,,,0.21580321647693557,0.04577402758632641,0.7641152436425808,,,0.8288462328995033,0.8752518611684637,0.0011751085870338961,,,0.0035038499385290547,0.00042769570989400346,0.4482142857142858,0.5208518518518519,0.07667795985910958,0.15018730844749598,0.8912104040921142,0.46115247641024204,0.00037050428034892454,0.000398384419363602,,,,,,,,
performance,STFPM,mint,50,,,,,,,10,10,20,20,40,,,,,,,80,80,300,160,460,4.649,0.48839583333333336,0.3392412098063875,0.6849890549268788,0.0006323126718002898,0.004569551956228679,0.0125,0.9866666666666667,0.48839583333333336,,,,0.49504166666666666,0.2077633874362212,,,,0.20832101704607,0.6662427450441801,,,,0.6881148676177317,0.00042684970798142845,,,,0.0006765272391490724,,,,,,,,,,,,,0.48175,0.2072057578263724,0.6443706224706286,0.00017717217681378444
performance,STFPM,pcb,50,,,,5,,5,5,5,20,20,40,,,,98,,99,124,104,300,425,725,4.571,0.4628235294117647,0.5603474590140962,0.7239362712308178,0.0026018602479437897,0.004564447586348376,0.01647058823529412,0.9633333333333334,0.4621735162345762,,,0.4559427609427609,0.4299679487179488,0.2484386352098634,,,0.22410594838563414,0.22177067116366042,0.7146019080172628,,,0.7491932067831137,0.6986860229217021,0.0011917695787397734,,,0.002372146012253263,0.0006484546854552073,,0.482312925170068,,0.2545564820548849,,0.6962804185837168,,0.0003234633796767631,,,,,0.4804704301075269,0.2933214392352741,0.7142479837805183,0.0014230142375738605
performance,STFPM,phone_battery,50,5,,,5,5,,,5,20,20,40,33,,,23,120,,,84,300,260,560,4.72,0.5650320512820513,0.5335565386855208,0.7591752338072344,0.0037245636782664384,0.005431784821368118,0.011538461538461539,0.9633333333333334,0.556423354272539,,0.5756805555555556,,0.5543650793650794,0.21917388240828353,,0.37012725087565074,,0.2674566180650261,0.7212493918584371,,0.7387283767231264,,0.8276621954153486,0.002540686628481486,,0.002029641464773037,,0.007741883973627822,0.606010101010101,0.4896376811594203,0.14252992704198864,0.09658173365046872,0.6791515381865626,0.6394554571087108,0.00024063610551625092,0.0001505849700088337,,,,,,,,
performance,STFPM,plastic_nut,50,5,,,5,,5,,5,20,20,40,8,,,8,,51,,19,300,86,386,4.912,0.48998062015503874,0.22444718274224967,0.6987136705398487,0.00081082583398191,0.0053772165801860465,0.011627906976744186,0.9933333333333333,0.5074028745270037,,,0.4790522875816994,0.4820175438596491,0.07593090225301478,,,0.14823696060085018,0.05996320036945148,0.7151819489217719,,,0.734535439381949,0.6822518905828903,0.00024174771310530191,,,0.0006287699364544467,0.0002341207017273479,0.46291666666666664,0.605625,0.03038426162576467,0.06513918641599284,0.7085502256121814,0.7353902401100667,3.329370807682639e-05,7.080650616258675e-05,,,,,,,,
